Date	Last Muscle Group Trained	Sleep Duration (Hours)	Sleep Quality	Soreness Level	Energy Level	Stress Level	Workout Status
12/14/2025	Abs/Arms	8	Excellent	Minor	Adequate Energy	Tolerable Stress	Workout
12/15/2025	Abs/Arms	7	Good	Manageable	High Energy	Tolerable Stress	Rest
12/16/2025	Lower	8	Excellent	Manageable	Adequate Energy	Low Stress	Workout
12/17/2025	Upper	7	Good	Manageable	Adequate Energy	Low Stress	Workout
12/18/2025	Upper	7.5	Good	Manageable	High Energy	Tolerable Stress	Rest
12/19/2025	Abs/Arms	8	Excellent	Minor	High Energy	Tolerable Stress	Workout
12/20/2025	Lower	7	Good	Moderate	Adequate Energy	Tolerable Stress	Workout
12/21/2025	Lower	8	Excellent	Manageable	High Energy	Low Stress	Rest
12/22/2025	Lower	8	Excellent	Manageable	High Energy	Tolerable Stress	Rest
12/23/2025	Lower	9	Excellent	Minor	High Energy	Tolerable Stress	Rest
12/24/2025	Lower	8.5	Excellent	Minor	Adequate Energy	Low Stress	Rest
12/25/2025	Lower	7.5	Good	Minor	Adequate Energy	Low Stress	Rest
12/26/2025	Lower	8	Excellent	Manageable	High Energy	Low Stress	Rest
12/27/2025	Upper	8	Excellent	Minor	High Energy	Low Stress	Workout
12/28/2025	Upper	9	Excellent	Minor	High Energy	Tolerable Stress	Rest
12/29/2025	Upper	8.5	Excellent	Manageable	High Energy	Low Stress	Rest
12/30/2025	Upper	7.5	Good	Manageable	High Energy	Low Stress	Rest
12/31/2025	Upper	8	Excellent	Minor	Adequate Energy	Low Stress	Rest
1/1/2026	Upper	8	Excellent	Minor	Adequate Energy	Low Stress	Rest
1/2/2026	Abs/Arms	9	Excellent	Minor	Adequate Energy	Low Stress	Workout
1/3/2026	Abs/Arms	8.5	Excellent	Minor	Adequate Energy	Low Stress	Rest
1/4/2026	Abs/Arms	7.5	Good	Minor	High Energy	Low Stress	Rest
1/5/2026	Lower	8	Excellent	Moderate	Adequate Energy	Low Stress	Workout
1/6/2026	Upper	7	Good	Moderate	Adequate Energy	Low Stress	Workout
1/7/2026	Upper	7.5	Good	Minor	High Energy	Low Stress	Rest
1/8/2026	Abs/Arms	8	Excellent	Minor	High Energy	Low Stress	Workout
1/9/2026	Lower	7	Good	Minor	High Energy	Tolerable Stress	Workout
1/10/2026	Lower	8	Excellent	Manageable	Adequate Energy	Low Stress	Rest
1/11/2026	Upper	7	Good	Manageable	Adequate Energy	Low Stress	Workout
1/12/2026	Abs/Arms	7.5	Good	Moderate	High Energy	High Stress	Workout
1/13/2026	Abs/Arms	8	Excellent	Manageable	Adequate Energy	Low Stress	Rest
1/14/2026	Lower	7	Good	Minor	Adequate Energy	Low Stress	Workout
1/15/2026	Upper	8	Excellent	Manageable	High Energy	Tolerable Stress	Workout
1/16/2026	Upper	7	Good	Manageable	Adequate Energy	Tolerable Stress	Rest
1/17/2026	Abs/Arms	7.5	Good	Minor	High Energy	Low Stress	Workout
1/18/2026	Lower	8	Excellent	Minor	Adequate Energy	Tolerable Stress	Workout
1/19/2026	Lower	7	Good	Minor	High Energy	Low Stress	Rest
1/20/2026	Upper	8.5	Excellent	Manageable	Low Energy	Tolerable Stress	Workout
1/21/2026	Abs/Arms	7.5	Good	Manageable	Adequate Energy	Tolerable Stress	Workout
1/22/2026	Abs/Arms	8	Excellent	Minor	Adequate Energy	Tolerable Stress	Rest
1/23/2026	Lower	8.5	Excellent	Minor	Adequate Energy	High Stress	Workout
1/24/2026	Upper	7.5	Good	Minor	High Energy	High Stress	Workout
1/25/2026	Upper	8.5	Excellent	Manageable	High Energy	Tolerable Stress	Rest
1/26/2026	Abs/Arms	7.5	Good	Moderate	Adequate Energy	Tolerable Stress	Workout
1/27/2026	Lower	8	Excellent	Minor	Adequate Energy	Tolerable Stress	Workout
1/28/2026	Lower	8.5	Excellent	Minor	Adequate Energy	Tolerable Stress	Rest
1/29/2026	Upper	7.5	Good	Moderate	Adequate Energy	Tolerable Stress	Workout
1/30/2026	Abs/Arms	8.5	Excellent	Moderate	Adequate Energy	Tolerable Stress	Workout
1/31/2026	Abs/Arms	7.5	Good	Manageable	Adequate Energy	Tolerable Stress	Rest
2/1/2026	Lower	8	Excellent	Minor	Adequate Energy	Tolerable Stress	Workout
2/2/2026	Upper	8.5	Excellent	Minor	Low Energy	High Stress	Workout
2/3/2026	Upper	7.5	Good	Minor	Adequate Energy	Low Stress	Rest
2/4/2026	Abs/Arms	8.5	Excellent	Moderate	Low Energy	Tolerable Stress	Workout
2/5/2026	Lower	7.5	Good	Minor	Low Energy	Tolerable Stress	Workout
2/6/2026	Lower	8	Excellent	Manageable	Low Energy	Low Stress	Rest
2/7/2026	Upper	8.5	Excellent	Minor	High Energy	High Stress	Workout
2/8/2026	Abs/Arms	7	Fair	Minor	Adequate Energy	Tolerable Stress	Workout
2/9/2026	Abs/Arms	8	Good	Moderate	Low Energy	Tolerable Stress	Rest
2/10/2026	Lower	7	Fair	Moderate	Low Energy	Low Stress	Workout
2/11/2026	Upper	7.5	Good	Moderate	High Energy	Tolerable Stress	Workout
2/12/2026	Upper	8	Good	Manageable	Low Energy	High Stress	Rest
2/13/2026	Abs/Arms	7	Fair	Manageable	Adequate Energy	Tolerable Stress	Workout
2/14/2026	Lower	8	Good	Manageable	Adequate Energy	Tolerable Stress	Workout
2/15/2026	Lower	7	Fair	Moderate	Adequate Energy	Tolerable Stress	Rest
2/16/2026	Upper	7.5	Good	Minor	Adequate Energy	Low Stress	Workout
2/17/2026	Abs/Arms	8	Good	Moderate	Adequate Energy	High Stress	Workout
2/18/2026	Abs/Arms	7	Fair	Moderate	High Energy	Low Stress	Rest
2/19/2026	Lower	8	Good	Manageable	Adequate Energy	High Stress	Workout
2/20/2026	Upper	7	Fair	Minor	Adequate Energy	Tolerable Stress	Workout
2/21/2026	Upper	7.5	Good	Manageable	Adequate Energy	Tolerable Stress	Rest
2/22/2026	Abs/Arms	8	Good	Moderate	Adequate Energy	Tolerable Stress	Workout
2/23/2026	Lower	7	Fair	Moderate	Adequate Energy	High Stress	Workout
2/24/2026	Lower	8	Good	Manageable	High Energy	High Stress	Rest
2/25/2026	Upper	7	Fair	Manageable	High Energy	Tolerable Stress	Workout
2/26/2026	Abs/Arms	7.5	Good	Moderate	High Energy	Low Stress	Workout
2/27/2026	Abs/Arms	8	Good	Manageable	Adequate Energy	Tolerable Stress	Rest
2/28/2026	Lower	7	Fair	Manageable	Low Energy	Tolerable Stress	Workout
3/1/2026	Upper	6.5	Fair	Moderate	Low Energy	High Stress	Workout
3/2/2026	Upper	5.5	Poor	Severe	Adequate Energy	High Stress	Rest
3/3/2026	Abs/Arms	6	Poor	Moderate	Low Energy	High Stress	Workout
3/4/2026	Lower	6.5	Fair	Moderate	Low Energy	High Stress	Workout
3/5/2026	Lower	5.5	Poor	Severe	Low Energy	High Stress	Rest
3/6/2026	Upper	6.5	Fair	Moderate	Adequate Energy	Tolerable Stress	Workout
3/7/2026	Abs/Arms	5.5	Poor	Severe	Adequate Energy	High Stress	Workout
3/8/2026	Abs/Arms	6	Poor	Moderate	Low Energy	High Stress	Rest
3/9/2026	Lower	6.5	Fair	Manageable	Low Energy	High Stress	Workout
3/10/2026	Upper	5.5	Poor	Moderate	Adequate Energy	High Stress	Workout
3/11/2026	Upper	6.5	Fair	Moderate	Low Energy	High Stress	Rest
3/12/2026	Abs/Arms	5.5	Poor	Moderate	Low Energy	High Stress	Workout
3/13/2026	Lower	6	Poor	Severe	Low Energy	High Stress	Workout
3/14/2026	Lower	6.5	Fair	Moderate	Low Energy	Tolerable Stress	Rest
3/15/2026	Upper	5.5	Poor	Severe	Adequate Energy	High Stress	Workout
3/16/2026	Abs/Arms	6.5	Fair	Moderate	Low Energy	High Stress	Workout
3/17/2026	Abs/Arms	5.5	Poor	Moderate	Low Energy	High Stress	Rest
3/18/2026	Lower	6	Poor	Moderate	Low Energy	High Stress	Workout
3/19/2026	Upper	6.5	Fair	Moderate	Low Energy	High Stress	Workout
3/20/2026	Upper	5.5	Poor	Severe	Low Energy	Tolerable Stress	Rest
3/21/2026	Abs/Arms	6.5	Fair	Moderate	Low Energy	Tolerable Stress	Workout
3/22/2026	Lower	5.5	Poor	Severe	Low Energy	High Stress	Workout
3/23/2026	Lower	7	Good	Minor	Adequate Energy	Tolerable Stress	Rest
3/24/2026	Upper	7.5	Good	Manageable	Adequate Energy	Tolerable Stress	Workout
3/25/2026	Abs/Arms	6.5	Fair	Moderate	Adequate Energy	Tolerable Stress	Workout
3/26/2026	Abs/Arms	7.5	Good	Manageable	High Energy	High Stress	Rest
3/27/2026	Lower	6.5	Fair	Manageable	Adequate Energy	Tolerable Stress	Workout
3/28/2026	Upper	7	Good	Manageable	Adequate Energy	High Stress	Workout
3/29/2026	Upper	7.5	Good	Moderate	Adequate Energy	Tolerable Stress	Rest
3/30/2026	Abs/Arms	6.5	Fair	Manageable	High Energy	Tolerable Stress	Workout
3/31/2026	Lower	7.5	Good	Moderate	High Energy	High Stress	Workout
4/1/2026	Lower	6.5	Fair	Moderate	Adequate Energy	Low Stress	Rest
4/2/2026	Upper	7	Good	Manageable	Adequate Energy	Tolerable Stress	Workout
4/3/2026	Abs/Arms	7.5	Good	Moderate	High Energy	Tolerable Stress	Workout
4/4/2026	Abs/Arms	6.5	Fair	Manageable	Low Energy	Tolerable Stress	Rest
4/5/2026	Lower	7.5	Good	Manageable	High Energy	Tolerable Stress	Workout
4/6/2026	Upper	6.5	Fair	Manageable	Low Energy	Tolerable Stress	Workout
4/7/2026	Upper	7	Good	Manageable	Adequate Energy	High Stress	Rest
